Running times: [0, 0, 0, 0, 0, 0, 414121283, 0, 0, 0, 0, 0]
pods times: [16234433, 1917663, 224732, 644408, 1393271, 19328061, 826097, 464269, 836598, 472926, 764543, 506799]
services times: [2213798, 71058, 88565, 82575, 182557, 267806, 90048, 71989, 64866, 224014, 470902, 199273]
deployment times: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
configMap times: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
secrets times: [2909452, 60724, 57377, 65828, 61956, 108499, 58584, 65372, 54056, 55729, 336425, 82399]
statefulSet times: [34716407, 841227, 573424, 1942880, 2463236, 9685990, 1106112, 929242, 892853, 909444, 1130549, 1272766]
pdb times: [293059, 10570, 9728, 10770, 10971, 20940, 10499, 12654, 10390, 14357, 10109, 18334]
